vaalipiiri,id,sukunimi,etunimi,nimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.,valittu,sitoutumaton,kotikunta,ehdokasnumero,Mitä asioita haluat edistää tai ajaa tulevalla vaalikaudella,Vaalilupaus 1,Vaalilupaus 2,Vaalilupaus 3,Äidinkieli,Kotisivun osoite:,Facebook-profiilin osoite:,Twitter-profiilin osoite:,Lapsia,Perheeseeni kuuluu:,Vapaa-ajalla sydäntäni lähinnä on,Työnantaja,Ammattiasema,Ammatti,Koulutus,Kielitaito,Uskonnollinen yhteisö,Poliittisen puolueen jäsen,Poliittinen kokemus,Käytän vaaleihin rahaa,Ulkopuolisen rahoituksen osuus,Tärkein ulkopuolinen rahoituslähde,Vuositulot,Sijoitusten arvo (esim. osakkeet - rahastot),127|Suomessa on liian helppo elää sosiaaliturvan varassa,128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.,129|Suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason.,130|Työntekijälle on turvattava lailla minimityöaika.,131|Ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää.,132|Euron ulkopuolella Suomi pärjäisi paremmin.,133|Ruoan verotusta on varaa kiristää.,134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.,135|Lapsilisiä on korotettava ja laitettava verolle.,136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.,137|Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.,138|Suomeen tarvitaan enemmän poliiseja.,139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.,140|Venäjän etupiiripolitiikka on uhka Suomelle.,141|Verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja.,142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.,143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.,144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.,145|Viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin.,146|Vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä.,147|Kansalaisten oikeus terveyspalveluihin on tärkeämpää kuin kuntien itsehallinto.,148|Ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle.,149|Geenimuunneltu ruoka on turvallista ihmiselle ja ympäristölle.,150|Suomen pitää ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.,"151|On aika luopua ajatuksesta, että koko Suomi on pidettävä asuttuna.",152|Peruskoulun opetusryhmien koko on rajattava lailla esimerkiksi 20 oppilaaseen.,201|Suomen Nato-jäsenyydestä on järjestettävä kansanäänestys.,244|Hyväksytään periaatepäätös uuden ydinvoimalaitosyksikön rakentamisesta.,245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttämiseksi.,246|Edellisen eduskunnan hyväksymä lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.,247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.,248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.
07 Pirkanmaan vaalipiiri,4386,Haapala,Riitta,Haapala Riitta,Suomen Kristillisdemokraatit (KD),49,F,0,0,0,,4,"Lasten ja nuorten asiat, etenkin koulutuspuolen asiat ovat kiikkulaudalla. Kun lähdet alhaalta parantamaan asioita, myös työllisyystilanne ja vanhuksemme tulee hoidettua. Investointi näihin nuorempiin tuo rahoja takaisinpäin muuhun tarkoitukseen. Suomen kunnia on ollut lasten etu ja hyvät koulut, ei saa unohtaa perusteita...","Ajan nuoren asiaa. Koulutus kuntoon. Tuöpaikkoja nuorille lisää, harjoittelupaikkoja, kesätöitä. Työn tuominen kaikille on kansakunnan etu.","Varhaiskasvatuslaki valmistuu. Yli 40 vuotta ollut laki pitää uudistaa. Lakimuutoksissa lapsen etu, tuo tullessaan tulevan vastuunkantajan.","Ikäihmiset tulee hoitaa arvokkaasti, oman toiveen mukaan.Terveyskeskus kuuluu kaikille, heti apua, myös seniorit lääkäriin hyvin autettuna.",suomi ,http://www.riittahaapala.com,http://riitta.haapala.5.@facebook.com,https://twitter.com/@HaapalaRiitta,,"Puoliso, tytär 9v., poika 20 v. Puolisolla 2 aikuista lasta, jotka lapsena asuivat usein luonamme. Kuuluvat perheeseemme.",musiikki ,julkinen ,korkeakoulututkintoa vaativa tehtävä ,"Lastentarhanopettaja, Ammatillinen opettaja/kouluttaja",korkeakoulututkinto ,suomi |ruotsi |englanti |saksa ,muu kristillinen kirkko tai yhteisö ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,1 000-5 000 euroa ,1-20 % ,puolueen tuki ,30 000-50 000 euroa ,0-10 000 euroa ,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,Ei,Ei,Kyllä,Kyllä,Kyllä,Ei
02 Uudenmaan vaalipiiri,4586,Haapalainen,Johannes,Haapalainen Johannes,Suomen Kristillisdemokraatit (KD),44,M,0,0,0,Nurmijärvi,27,"Yrittäminen kannattavaksi, perheen aseman puolustaminen, koulutuksen laadun kehittäminen. Perustulomalli pohdittavaksi",Seison rohkeasti arvojen takana.,Puolustan yhteiskunnan tärkeintä instituutiota perhettä.,"Palveluja ihmisille, eikä ihmisiä palveluille.",suomi ,http://www.johannesehdokas.eu,https://www.facebook.com/KunnanvaltuutettuJohannes,https://twitter.com/#johannesehdokas,kyllä ,vaimo  ja  kuusi yhteistä suloista lasta 7v-22v,,julkinen ,korkeakoulututkintoa vaativa tehtävä ,Pastori,korkeakoulututkinto ,suomi |ruotsi |englanti |viro ,evankelis-luterilainen kirkko ,,kunnan- tai kaupunginvaltuusto ,1 000-5 000 euroa ,51-80 % ,yksityiset lahjoitukset ,20 000-30 000 euroa ,0-10 000 euroa ,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,ohita kysymys,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,Ei,Ei,Ei,Kyllä,Ei,Tyhjä
03 Varsinais-Suomen vaalipiiri,4533,Haapanen,Ari-Pekka,Haapanen Ari-Pekka,Perussuomalaiset,42,M,0,0,0,Aura,74,Tervettä isänmaallisuutta ja kaikista kansalaisista huolta pitämistä. Nämä pitävät sisällään mm.maahanmuuton ja kehitysyhteistyön järkeistämistä. Omaishoidon tasapuoleistaminen siirtämällä se Kelalle. Kulttuurin vaaliminen ja tukeminen. Syrjäytymisen ehkäiseminen. EU -jäsenmaksujen kohtuullistaminen. Omaan valuuttaan siirtymiseen on varauduttava.,"Pyrin parhaani mukaan ajamaan niitä asioita, jotka on kirjattu omaan ja puolueen vaaliohjelmaan.",0,0,suomi ,http://www.aripekkahaapanen.com,,https://twitter.com/@haapanen_ap,kyllä ,"Vaimo, vajaa 5 -vuotiaat kaksospojat ja koira.",musiikki ,julkinen ,työntekijä ,Soitonopettaja,ammattitutkinto ,suomi |englanti |joku muu,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,1 000-5 000 euroa ,0 %,ei ulkopuolista vaalirahoitusta,30 000-50 000 euroa ,200 000-500 000 euroa ,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,ohita kysymys,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,ohita kysymys,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,ohita kysymys,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,ohita kysymys,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,Kyllä,Kyllä,Kyllä,Tyhjä,Kyllä,Kyllä
07 Pirkanmaan vaalipiiri,5312,Haapaniemi,Jari,Haapaniemi Jari,Kansallinen Kokoomus,43,M,0,0,0,Nokia,98,"Yrittäjyyden helpotuksia, työllisyyttä, toimivia ratkaisuita kuntatalouden helpottamiseksi. Soteratkaisu pitää tehdä kuntia ja yksityisen sektorin toimijoita kuunnellen.",Yrittäjän asemaa parannetaan. Ei enää puheita vaan tekoja.,Hyvinvointivaltion toiminta turvataan.,Koulutus pidetään korkealla tasolla.,suomi ,http://www.jarihaapaniemi.net/,https://www.facebook.com/pages/Ehdolla-eduskuntaan-Jari-Haapaniemi/152526361465918?ref=aymt_homepage_panel,https://twitter.com/HaapaniemiJari,kyllä ,"Vaimoni Marjo, lapseni Anna ja Joel sekä Eero koira.",metsästys ja kalastus ,yksityinen ,yrittäjä ,Toimitusjohtaja,joku muu,suomi |ruotsi |englanti |saksa ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,20 000-50 000 euroa ,21-50% ,yksityiset lahjoitukset ,20 000-30 000 euroa ,ei sijoituksia ,1 - täysin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,Kyllä,Kyllä,Kyllä,Ei,Kyllä,Kyllä
04 Satakunnan vaalipiiri,6316,Haapaniemi,Juha,Haapaniemi Juha,Muutos 2011,34,M,0,0,0,,2,,,,,,,,,,,,,,IV-asentaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Vaasan vaalipiiri,5423,Haapaniemi,Mari,Haapaniemi Mari,Vasemmistoliitto,42,F,0,0,0,Seinäjoki,21,Haluan edistää palkansaajille tärkeitä asioita vaalikaudella ja ajaa asiaa kotimaisen ruokatuotannon puolesta sekä ylläpitää ja parantaa työntekijöiden oikeuksia.,Asioiden hoidossa huomioitava yhteiskunnallinen oikeudenmukaisuus ja tasa-arvo,Kotimaisen ruokatuotannon puolesta puhuminen,Työntekijöiden oikeuksista huolehtiminen,suomi ,,,,ei,,ruoka ja juoma,yksityinen ,työntekijä ,elintarviketyöntekijä,ammattitutkinto ,suomi |ruotsi |englanti ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,alle 1 000 euroa ,,ammattijärjestöjen tuki ,20 000-30 000 euroa ,ei sijoituksia ,4 - täysin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,Kyllä,Ei,Ei,Ei,Ei,Ei
01 Helsingin vaalipiiri,5777,Haatainen,Tuula,Haatainen Tuula,Suomen Sosialidemokraattinen Puolue,55,F,0,1,0,Helsinki,136,"Suomeen on saatava uutta työtä ja työpaikkoja. Työelämän laatua pitää vahvistaa ja palkkatasa-arvoa edistää. Nuorille on oltava koulutuspaikka peruskoulun jälkeen ja työtä.  Helsingissä asumiskustannuksia on voitava alentaa, jotta yksinelävät ja perheet voivat asua täällä ja elättää itsensä ja perheensä.   Sosiaali- ja terveydenhuollon ratkaisu on pikimmiten vietävä läpi. Päällekkäistä hallintoa on purettava.  Perusterveydenhuoltoa ja vanhusten palveluita on vahvistettava.",Nuorille koulutuspaikka peruskoulun jälkeen,Sosiaali- ja terveydenhuollon palvelurakenne on päätettävä ja julkisia palveluita vahvistettava,Helsinkiin lisää kohtuuhintaisia vuokra- ja omistusasuntoja.,suomi ,http://tuulahaatainen.fi,https://www.facebook.com/SDPTuulaHaatainen,https://twitter.com/tuulahaatainen,kyllä ,Aviopuoliso ja kaksi nuorta.,kirjallisuus ja elokuvat ,julkinen ,johtava asema ,"sairaanhoitaja, valtiotieteen maisteri",korkeakoulututkinto ,suomi |ruotsi |englanti |saksa ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto |kansanedustaja ,10 000-20 000 euroa ,1-20 % ,puolueen tuki ,yli 100 000 euroa,ei sijoituksia ,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,ohita kysymys,ohita kysymys,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,ohita kysymys,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,Kyllä,Ei,Tyhjä,Ei,Ei,Ei
01 Helsingin vaalipiiri,6252,Haavisto,Juho,Haavisto Juho,Suomen Työväenpuolue STP,67,M,0,0,0,,223,,,,,,,,,,,,,,"kuvankäsittelijä, valokuvaaja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Uudenmaan vaalipiiri,6302,Haavisto,Kai,Haavisto Kai,Itsenäisyyspuolue,49,M,0,0,0,,329,,,,,,,,,,,,,,toimitilakonsultti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Satakunnan vaalipiiri,5950,Haavisto,Minna,Haavisto Minna,Vihreä liitto,43,F,0,0,0,,101,,,,,,,,,,,,,,"tekniikan tohtori, toiminnanjohtaja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Pirkanmaan vaalipiiri,6339,Haavisto,Pekka,Haavisto Pekka,Itsenäisyyspuolue,34,M,0,0,0,,62,,,,,,,,,,,,,,artesaani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Helsingin vaalipiiri,5861,Haavisto,Pekka,Haavisto Pekka,Vihreä liitto,57,M,1,1,0,Helsinki,70,"Tulevan vaalikauden suurimmat haasteet liittyvät talouteen, turvallisuuteen ja syrjäytymisen ehkäisyyn.  Taloudessa Suomella on mahdollisuus kehittyä ympäristöystävällisen tuotannon ja clean techin huippuosaajaksi maailmalla.  Ukrainan ja Krimin kriisi on lisännyt jännitystä myös Itämeren alueella. ISIS:n toiminta ja terrori-iskut Euroopassa ovat lisänneet turvallsuusuhkia. Suomen on toimittava aktiivisesti kansainvälisessä kriisinhallinnassa ja rauhanprosesseissa.  Suomea uhkaa sisäisesti eniten syrjäytymiskehitys, jossa tuloerot kasvavat ja nuorten syrjäytyminen syvenee. Hyvinvointivaltiossa kaikki pidetään mukana.","Työpaikat ja vihreä talous. Toimin ympäristöystävällisen tuotannon, clean techin ja uusien työpaikkojen syntymisen puolesta.","Turvallisuus. Suomella aktiivinen rooli kriisinhallinnassa, rauhanprosesseissa, humanitaarisessa avussa ja kehitysyhteistyössä.",Syrjäytymisen ehkäiseminen. Ennenkaikkea nuorten syrjäytymiseen puututtava. Nuorisotakuun jatkaminen. Hyvinvointivaltion säilyttäminen.,suomi ,http://www.pekkahaavisto.fi/,https://www.facebook.com/haavisto.pekka,https://twitter.com/@Haavisto,ei,Puoliso,kirjallisuus ja elokuvat ,julkinen ,asiantuntijatehtävä ,kansanedustaja,,suomi |ruotsi |englanti ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kansanedustaja ,20 000-50 000 euroa ,21-50% ,yksityiset lahjoitukset ,70 000-100 000 euroa ,ei sijoituksia ,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,Kyllä,Ei,Ei,Ei,Ei,Ei
13 Lapin vaalipiiri,6134,Hacklin,Pekka,Hacklin Pekka,Kansallinen Kokoomus,37,M,0,0,0,Tornio,64,"Haluan edistää Suomen siirtyvän entistä markkinaehtoisemmaksi taloudeksi, koska vain toimia elinkeinoelämä voi taata hyvinvoinnin","Lupaan tehdä töitä Meri-Lapin alueen puolesta, jotta palvelut säilyisivät","Kehitän suhteita elinkeinoelämään päin, jotta Meri-Lappi säilyy houkuttelevana kohteena teollisuudelle","Lupaan toimia, mitkä vähentävät yrittämisen byrokratiaa/sääntelyä ja muuttavat verotusta tulosperusteissemmaksi.",suomi ,,,https://twitter.com/@HacklinPekka,kyllä ,"Vaimo ja 2 lasta. Toinen ala-asteella, toinen päivähoitoiässä.",ruoka ja juoma,yksityinen ,yrittäjä ,Insinööri (AMK),korkeakoulututkinto ,suomi |ruotsi |englanti ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,1 000-5 000 euroa ,81-100%,puolueen tuki ,30 000-50 000 euroa ,10 000-50 000 euroa ,1 - täysin samaa mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,ohita kysymys,4 - täysin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,ohita kysymys,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,Kyllä,Kyllä,Kyllä,Ei,Kyllä,Ei
02 Uudenmaan vaalipiiri,5908,Haglund,Carl,Haglund Carl,Suomen ruotsalainen kansanpuolue,36,M,0,1,0,Espoo,202,"Minulle tärkeät teemat ovat työllisyys ja sen kautta mahdollisuus panostaa koulutukseen, hyvään hoivaan, puhtaaseen ympäristöön sekä uskottavaan ulko- ja turvallisuuspolitiikkaan.",Työllisyyden nostaminen on ykköstavoite. Tämä edellyttää uskottavaa vero- ja työmarkkinapolitiikkaa.,Koulutus on Suomen valtti. Siihen tulee panostaa.,Hyvä hoiva kuuluu kaikille. Uskon siihen että valinnanvapautta tulisi lisätä meidän hoitojärjestelmässä.,,http://www.carlhaglund.fi,https://sv-se.facebook.com/carlhaglund,https://twitter.com/calle_haglund,,Puolisoni ja kaksi lasta,liikunta ,julkinen ,johtava asema ,"Puolustusministeri, puolueen puheenjohtaja",korkeakoulututkinto ,suomi |ruotsi |englanti |saksa ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto |Euroopan parlamentin jäsen ,yli 50 000 euroa,,,,,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,Tyhjä,Kyllä,Kyllä,Ei,Kyllä,Ei
01 Helsingin vaalipiiri,5050,Haglund,Mia,Haglund Mia,Vasemmistoliitto,29,F,0,0,0,Helsinki,28,"Maksuton koulutus, vähentää tuloeroja, vanhemmuuden kustannukset jaetaan 6+6+6-mallin mukaan, lisää uusiutuvia energialähteitä, humaani pakolaispolitiikka, translain uudistus, nuorisotakuusta hyvinvointitakuu, elvyttävä talouspolitiikka.",Teen feminististä politiikkaa.,Teen luokkayhteiskuntaa purkavaa politiikkaa.,Teen ympäristökriisin pysäyttävää politiikkaa.,ruotsi ,http://miahaglund.fi,https://www.facebook.com/haglundmia,https://twitter.com/MiaHaglund,ei,Äiti ja kaksoisveljet.,musiikki ,julkinen ,joku muu,Kansanedustajan avustaja,,suomi |ruotsi |englanti |saksa |joku muu,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,1 000-5 000 euroa ,81-100%,yksityiset lahjoitukset ,20 000-30 000 euroa ,10 000-50 000 euroa ,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Ei
